Asset Event Count (by Type),,,
Shows number of events per event type and asset,,,
Report Parameters,,,
StartTimeFilter: 01/11/2017 08:36:00 GMT,,,
EndTimeFilter: 16/11/2017 08:36:00 GMT,,,
Language: English,,,
Asset,,Event Type,Occurrences
QAT 217992,,Power Up,4
QAT 217992,Count: 13,,Sum: 1837
QAT 228016,,,
QAT 228016,,Heartbeat,33
QAT 228016,,Tag Out,41
QAT 228016,,Journey Summary,39
QAT 228016,,Stop Moving,179
QAT 228016,,Ignition Off,39
QAT 228016,,Position Report,881
QAT 228016,,Start Moving,179
QAT 228016,,CAN Periodic,315
QAT 228016,,Ignition On,40
QAT 228016,,Tag In,41
QAT 228016,,Power Up,4
QAT 228016,,Idle End,3
QAT 228016,,Idle Start,3
QAT 228016,Count: 13,,Sum: 1797
QAT 228054,,,
QAT 228054,,CAN Periodic,361
QAT 228054,,Position Report,930
QAT 228054,,Start Moving,168
QAT 228054,,Heartbeat,34
QAT 228054,,Stop Moving,167
QAT 228054,,Ignition On,30
QAT 228054,,Tag In,27
QAT 228054,,Tag Out,26
QAT 228054,,Journey Summary,26
QAT 228054,,Ignition Off,28
QAT 228054,,Power Up,4
QAT 228054,,Idle End,6
QAT 228054,,Idle Start,6
QAT 228054,Count: 13,,Sum: 1813
QAT 228461,,,
QAT 228461,,CAN Periodic,562
QAT 228461,,Position Report,1317
QAT 228461,,Start Moving,282
QAT 228461,,Stop Moving,281
QAT 228461,,Heartbeat,34
QAT 228461,,Ignition On,20
QAT 228461,,Tag In,24
QAT 228461,,Tag Out,23
QAT 228461,,Journey Summary,19
QAT 228461,,Ignition Off,19
QAT 228461,,Overspeed End,9
QAT 228461,,Overspeed Start,9
QAT 228461,,Power Up,3
QAT 228461,,Idle End,3
QAT 228461,,Idle Start,3
QAT 228461,Count: 15,,Sum: 2608
QAT 252183,,,
QAT 252183,,Stop Moving,272
QAT 252183,,CAN Periodic,817
QAT 252183,,Position Report,1145
QAT 252183,,Start Moving,271
QAT 252183,,Heartbeat,35
QAT 252183,,Idle End,15
QAT 252183,,Idle Start,15
QAT 252183,,Ignition On,46
QAT 252183,,Tag In,59
QAT 252183,,Tag Out,59
QAT 252183,,Journey Summary,45
QAT 252183,,Ignition Off,46
QAT 252183,,External Power Restore,11
QAT 252183,,External Power Loss,11
QAT 252183,,Overspeed End,1
QAT 252183,,Overspeed Start,1
QAT 252183,,Power Up,3
QAT 252183,Count: 17,,Sum: 2852
QAT 45413,,,
QAT 45413,,Journey Summary,37
QAT 45413,,Stop Moving,302
QAT 45413,,Ignition Off,38
QAT 45413,,Position Report,1286
QAT 45413,,CAN Periodic,309
QAT 45413,,Start Moving,302
QAT 45413,,Heartbeat,33
QAT 45413,,Ignition On,38
QAT 45413,,Tag In,38
QAT 45413,,Tag Out,38
QAT 45413,,Power Up,4
QAT 45413,,Idle End,4
QAT 45413,,Idle Start,4
QAT 45413,Count: 13,,Sum: 2433
QAT 45415,,,
QAT 45415,,Heartbeat,36
QAT 45415,,Tag Out,30
QAT 45415,,Journey Summary,31
QAT 45415,,Ignition Off,31
QAT 45415,,CAN Periodic,201
QAT 45415,,Stop Moving,122
QAT 45415,,Position Report,492
