Asset Event History,,,,,,,,
Lists the event history within the specified period for the selected assets,,,,,,,,
Report Parameters,,,,,,,,
StartTimeFilter: 01/12/2017 00:01:00 GMT,,,,,,,,
EndTimeFilter: 06/12/2017 05:23:00 GMT,,,,,,,,
"SelectedEventTypes: CAN Periodic,Command Response,Digital Input 8 Off,Digital Input 8 On,Driving Duration Violation,External Power Loss,External Power Restore,Geofence Entry,Geofence Exit,Heartbeat,Idle End,Idle Start,Ignition Off,Ignition On,Journey Periodic,Journey Summary,Normal Mode On,Overspeed End,Overspeed Start,Poll Response,Position Report,Power Up,Service Mode On,Start Moving,Stop Moving,Tag In,Tag Out,Terminal Connected,Terminal Disconnected,Towing",,,,,,,,
Timezone: GMT,,,,,,,,
GeoReferenceSystem: Global,,,,,,,,
Language: English,,,,,,,,
Asset,Event,Event Type,Event Time,Position,Position URL,Odometer,Speed,Geo Reference
AD 1/63236,Heartbeat,Heartbeat,03/12/2017 20:00:00 GMT,"24.336599øN, 54.474499øE","24.336599øN, 54.474499øE",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/63236,Heartbeat,Heartbeat,03/12/2017 08:00:00 GMT,"24.336599øN, 54.474499øE","24.336599øN, 54.474499øE",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/63236,Heartbeat,Heartbeat,02/12/2017 20:00:00 GMT,"24.336599øN, 54.474499øE","24.336599øN, 54.474499øE",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/63236,Heartbeat,Heartbeat,02/12/2017 08:00:00 GMT,"24.336599øN, 54.474499øE","24.336599øN, 54.474499øE",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/63236,Heartbeat,Heartbeat,01/12/2017 20:00:00 GMT,"24.336599øN, 54.474499øE","24.336599øN, 54.474499øE",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/63236,Heartbeat,Heartbeat,01/12/2017 08:00:00 GMT,"24.336599øN, 54.474499øE","24.336599øN, 54.474499øE",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/63236,Count: 17,,Range: 01/12/2017 08:00:00 GMT to 05/12/2017 08:00:00 GMT,,,,,
AD 1/63430,,,,,,,,
AD 1/63430,Heartbeat,Heartbeat,05/12/2017 08:00:00 GMT,"24.336399øN, 54.474098øE","24.336399øN, 54.474098øE",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/63430,Tag Out,Tag Out,05/12/2017 06:53:42 GMT,"24.336399øN, 54.474201øE","24.336399øN, 54.474201øE",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/63430,External Power Loss,External Power Loss,05/12/2017 06:53:18 GMT,"24.336300øN, 54.474098øE","24.336300øN, 54.474098øE",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/63430,Idle End,Idle End,05/12/2017 06:53:17 GMT,"24.336300øN, 54.474098øE","24.336300øN, 54.474098øE",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/63430,Journey Summary,Journey Summary,05/12/2017 06:53:17 GMT,"24.336300øN, 54.474098øE","24.336300øN, 54.474098øE",839671,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/63430,Ignition Off,Ignition Off,05/12/2017 06:53:16 GMT,"24.336300øN, 54.474098øE","24.336300øN, 54.474098øE",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/63430,CAN Periodic,CAN Periodic,05/12/2017 06:41:39 GMT,"24.336300øN, 54.474201øE","24.336300øN, 54.474201øE",839671,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/63430,Position Report,Position Report,05/12/2017 06:31:52 GMT,"24.336500øN, 54.474300øE","24.336500øN, 54.474300øE",839671,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/63430,CAN Periodic,CAN Periodic,05/12/2017 06:26:39 GMT,"24.336399øN, 54.474098øE","24.336399øN, 54.474098øE",839671,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/63430,CAN Periodic,CAN Periodic,05/12/2017 06:11:39 GMT,"24.336300øN, 54.474201øE","24.336300øN, 54.474201øE",839671,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/63430,CAN Periodic,CAN Periodic,05/12/2017 05:56:41 GMT,"24.336300øN, 54.474201øE","24.336300øN, 54.474201øE",839671,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/63430,Idle Start,Idle Start,05/12/2017 05:56:41 GMT,"24.336300øN, 54.474201øE","24.336300øN, 54.474201øE",839671,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/63430,CAN Periodic,CAN Periodic,05/12/2017 05:41:41 GMT,"24.336300øN, 54.474201øE","24.336300øN, 54.474201øE",839671,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/63430,CAN Periodic,CAN Periodic,05/12/2017 05:26:41 GMT,"24.336300øN, 54.474201øE","24.336300øN, 54.474201øE",839671,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/63430,CAN Periodic,CAN Periodic,05/12/2017 05:11:41 GMT,"24.336300øN, 54.474201øE","24.336300øN, 54.474201øE",839671,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/63430,Power Up,Power Up,05/12/2017 04:59:19 GMT,"24.336300øN, 54.474201øE","24.336300øN, 54.474201øE",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/63430,Count: 16,,Range: 05/12/2017 04:59:19 GMT to 05/12/2017 08:00:00 GMT,,,,,
AD 1/84495,,,,,,,,
AD 1/91351,,,,,,,,
AD 1/91351,Heartbeat,Heartbeat,05/12/2017 08:00:00 GMT,"24.336399øN, 54.474201øE","24.336399øN, 54.474201øE",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,External Power Loss,External Power Loss,05/12/2017 06:49:00 GMT,"24.336399øN, 54.474400øE","24.336399øN, 54.474400øE",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,Tag Out,Tag Out,05/12/2017 06:48:52 GMT,"24.336201øN, 54.474499øE","24.336201øN, 54.474499øE",0,,"18.2 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/91351,Idle End,Idle End,05/12/2017 06:48:28 GMT,"24.336700øN, 54.474300øE","24.336700øN, 54.474300øE",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,Journey Summary,Journey Summary,05/12/2017 06:48:28 GMT,"24.336700øN, 54.474300øE","24.336700øN, 54.474300øE",982744,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,Ignition Off,Ignition Off,05/12/2017 06:48:27 GMT,"24.336700øN, 54.474300øE","24.336700øN, 54.474300øE",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,CAN Periodic,CAN Periodic,05/12/2017 06:48:26 GMT,"24.336700øN, 54.474300øE","24.336700øN, 54.474300øE",982744,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,Position Report,Position Report,05/12/2017 06:39:26 GMT,"24.336201øN, 54.473999øE","24.336201øN, 54.473999øE",982744,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,Position Report,Position Report,05/12/2017 06:33:45 GMT,"24.336700øN, 54.474300øE","24.336700øN, 54.474300øE",982744,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,CAN Periodic,CAN Periodic,05/12/2017 06:33:26 GMT,"24.336800øN, 54.474300øE","24.336800øN, 54.474300øE",982744,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,CAN Periodic,CAN Periodic,05/12/2017 06:18:26 GMT,"24.336599øN, 54.474201øE","24.336599øN, 54.474201øE",982744,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,CAN Periodic,CAN Periodic,05/12/2017 05:56:26 GMT,"24.336599øN, 54.474201øE","24.336599øN, 54.474201øE",982744,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/91351,Idle Start,Idle Start,05/12/2017 05:48:27 GMT,"24.336599øN, 54.474201øE","24.336599øN, 54.474201øE",982744,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/91351,CAN Periodic,CAN Periodic,05/12/2017 05:48:26 GMT,"24.336599øN, 54.474201øE","24.336599øN, 54.474201øE",982744,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/91351,CAN Periodic,CAN Periodic,05/12/2017 05:33:26 GMT,"24.337000øN, 54.473999øE","24.337000øN, 54.473999øE",982744,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,CAN Periodic,CAN Periodic,05/12/2017 05:18:26 GMT,"24.336700øN, 54.473999øE","24.336700øN, 54.473999øE",982744,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,CAN Periodic,CAN Periodic,05/12/2017 05:03:28 GMT,"24.336599øN, 54.474400øE","24.336599øN, 54.474400øE",982744,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/91351,Count: 17,,Range: 05/12/2017 05:03:28 GMT to 05/12/2017 08:00:00 GMT,,,,,
DXB 13326,,,,,,,,
DXB 24609,,,,,,,,
DXB 24614,,,,,,,,
DXB 26238,,,,,,,,
DXB 26239,,,,,,,,
DXB 26240,,,,,,,,
DXB 26867,,,,,,,,
DXB 26872,,,,,,,,
DXB 26929,,,,,,,,
DXB 28579,,,,,,,,
DXB 28579,Heartbeat,Heartbeat,05/12/2017 20:00:00 GMT,"25.010201øN, 55.130501øE","25.010201øN, 55.130501øE",0,,"32.7 km SSW from Dubai,United Arab Emirates,AE"
DXB 28579,Heartbeat,Heartbeat,05/12/2017 08:00:00 GMT,"25.010201øN, 55.130501øE","25.010201øN, 55.130501øE",0,,"32.7 km SSW from Dubai,United Arab Emirates,AE"
DXB 28579,Power Up,Power Up,05/12/2017 00:21:52 GMT,"25.010201øN, 55.130501øE","25.010201øN, 55.130501øE",0,,"32.7 km SSW from Dubai,United Arab Emirates,AE"
DXB 28579,Heartbeat,Heartbeat,04/12/2017 20:00:00 GMT,"25.010201øN, 55.130600øE","25.010201øN, 55.130600øE",0,,"32.7 km SSW from Dubai,United Arab Emirates,AE"
DXB 28579,Heartbeat,Heartbeat,04/12/2017 08:00:00 GMT,"25.010201øN, 55.130501øE","25.010201øN, 55.130501øE",0,,"32.7 km SSW from Dubai,United Arab Emirates,AE"
DXB 28579,Heartbeat,Heartbeat,03/12/2017 20:00:00 GMT,"25.010201øN, 55.130600øE","25.010201øN, 55.130600øE",0,,"32.7 km SSW from Dubai,United Arab Emirates,AE"
DXB 28579,Heartbeat,Heartbeat,03/12/2017 08:00:00 GMT,"25.010201øN, 55.130501øE","25.010201øN, 55.130501øE",0,,"32.7 km SSW from Dubai,United Arab Emirates,AE"
DXB 28579,Heartbeat,Heartbeat,02/12/2017 20:00:00 GMT,"25.010201øN, 55.130600øE","25.010201øN, 55.130600øE",0,,"32.7 km SSW from Dubai,United Arab Emirates,AE"
DXB 28579,Heartbeat,Heartbeat,02/12/2017 08:00:00 GMT,"25.010201øN, 55.130600øE","25.010201øN, 55.130600øE",0,,"32.7 km SSW from Dubai,United Arab Emirates,AE"
DXB 28579,Power Up,Power Up,01/12/2017 20:05:03 GMT,"25.010201øN, 55.130600øE","25.010201øN, 55.130600øE",0,,"32.7 km SSW from Dubai,United Arab Emirates,AE"
DXB 28579,Heartbeat,Heartbeat,01/12/2017 20:02:03 GMT,"25.010201øN, 55.130600øE","25.010201øN, 55.130600øE",0,,"32.7 km SSW from Dubai,United Arab Emirates,AE"
DXB 28579,Heartbeat,Heartbeat,01/12/2017 20:01:29 GMT,"25.010201øN, 55.130501øE","25.010201øN, 55.130501øE",0,,"32.7 km SSW from Dubai,United Arab Emirates,AE"
DXB 28579,Heartbeat,Heartbeat,01/12/2017 20:00:00 GMT,"25.010201øN, 55.130600øE","25.010201øN, 55.130600øE",0,,"32.7 km SSW from Dubai,United Arab Emirates,AE"
DXB 28579,Heartbeat,Heartbeat,01/12/2017 08:00:00 GMT,"25.010099øN, 55.130600øE","25.010099øN, 55.130600øE",0,,"32.7 km SSW from Dubai,United Arab Emirates,AE"
DXB 28579,Count: 14,,Range: 01/12/2017 08:00:00 GMT to 05/12/2017 20:00:00 GMT,,,,,
DXB 30912,,,,,,,,
DXB 45424,,,,,,,,
DXB 45539,,,,,,,,
DXB 45539,Heartbeat,Heartbeat,05/12/2017 20:00:00 GMT,"25.007200øN, 55.107300øE","25.007200øN, 55.107300øE",0,,"34.3 km SW from Dubai,United Arab Emirates,AE"
DXB 45539,Heartbeat,Heartbeat,05/12/2017 08:00:00 GMT,"25.007200øN, 55.107300øE","25.007200øN, 55.107300øE",0,,"34.3 km SW from Dubai,United Arab Emirates,AE"
DXB 45539,Power Up,Power Up,05/12/2017 00:22:21 GMT,"25.007401øN, 55.107300øE","25.007401øN, 55.107300øE",0,,"34.2 km SW from Dubai,United Arab Emirates,AE"
